review_text,cluster
Please fix your app bug. It has been to weeks and still transfer to bank is unavailable. Very disappointing. Been using gcash for a year already.,4.0
I always wanted to cash in for me to use it on my billings and loads but everytime i go to nearest accredited gcash cash in store it always say that service unavailable... So disappointed,4.0
Pahelp nmn po dq maaus yung gcash mpin q dhil pinakialamn ng anak ko nka3 attempts sya...dq n maopen andun cash q..,4.0
SINCE NOVEMBER UNTIL NOW I CANNOT CASH IN. BEEN RECEIVING MSGS THAT I HAVE REACHED MY WALLET LIMIT WHICH IS ABSURD BECAUSE I HAVEN'T HAD LIKE A 100K OF CASH. SO PLEASE FIX THIS.,4.0
Make me disappointed this app when i try to open my gcash account always says your pin is incorrect,4.0
this is the Nice app ever,2.0
Your costumer support sucks cant even tell what happened on your account. If there is some error on your app or services can you please advice us about it.,4.0
Easy to use. It's better now.,0.0
Very nice and good Thanks Gcash,2.0
I asked on costumer service if they can already know the issue because up to the nth time I cannot be verified! Please fix this.,4.0
fix problem cannot open,4.0
"I rate this app low, becuase I referred this app to my friend to get some Php for referral, but what happened is that it didn't add up to my referred friends and my friend did'nt get a free voucher that he is supposed to get for the new registered member.",4.0
Still there's a message that i still need to update my profile. Even there's a confirmation of that my profile was succesfully updated,1.0
"You guys sure have a lot to deal with right now. Just seeing all the negative feedbacks that happened last month which was just yesterday. Not a great year ender. I was actually going to give a you guys a single star and just rant about not getting a freebie cause it said freebie upon registration or login. (Something like that) And say fake news or advertising and just go mess around. I'mma just gonna go add few more stars. I mean it's freebies, everyone loves them. Happy new year....!!!",4.0
Useful and convenient with a few bugs.,4.0
I've already refer a friend and i have not received free 50,4.0
"I lost 4000 .and gcash texted me that i paid something , but i didnt know what it is, i nevr pay any or something . # wasting money",4.0
MY SISTER HAD REGISTERED AFTER I REFERRED HER THE GCASH AND I DIDN'T GET ANY MONEY. PLEASE DO YOUR SERVICE BETTER,4.0
Always customers service answered they disnt resolve my issue it almost 1month ago but they still didnt return my money they always reason its RCBC problem how come my card is in gcash i just widraw in RCBC mach and i personally report to them but still they didnt do any action,4.0
It's the worst bank for the 21st century.,4.0
Perfect digital debit and credit account!,4.0
Very good. Pampa goodvibes din..,2.0
The app is not running anymore im stuck on loading screen when opening the app,4.0
"Madaling gamitin , easy to access , no need to bring cash , okay and rebates . Thank you globe",4.0
Hassle because it always update.,1.0
I dont know what happen to my account limit exceed last december 2019 im waiting for january 2020 to be refresh but until now my account is limit exceed please do some action for this. Your hotline customer seevice not available,4.0
with my atm gcash,4.0
napaka tagal ng verification nyo,4.0
Just recently use Gcash and it is a fraud dont use this if you want to lose you money. They automatically reduce your money even if your not using the app ( like kain load ) and I got proof of that even with proof the customer care dont care they will not reimburse the missing cash they took from you. i suggest using pay maya or other money app.,4.0
you can only load when you have internet please upgrade it so when ill buy load no hustle.,4.0
Please i wish this doesnt need to sign up just we need the our google account i am tired to sign up and dont know what does this mean i am also only 12 yrs old :( i wanna get free money,4.0
it was really nice app and accessible,2.0
Easy transactions with gcash,0.0
1. Your credit card options doesn't support major credit cards 2. Your refresh token on login when expired is not working. cant login anymore after we receive the token 3. Add autofocus cursor on mobile # field on login 4. Linking a bank account then trying to pay again after next few weeks mysteriously doesnt work,4.0
Lagi na lang update ng update. Kelangan verify account. Not satisfied at all,1.0
"I am happy with G-cash app. It made me easier pay my dues and I received payments faster.. I can n load with my globe network by my own without going to stores outside the house, etc. Salute to G-cash!",4.0
GCASH SUPPORT IS NOT HELPFUL! The app could've been helpful for bank to bank transactions but their support is awful.,4.0
I hate this 😡 ! Naka ilang account Nako Sa GCash na to Kung hinde ko Lang Kelangan To hinde kona gagamitin eehh . lage Nalang Na wawala Yung account ko kase nag didissable Yung app Sayang Yung mga balance na Natitira !,4.0
Great App.Thanks to all freebies.God bless!❤,2.0
Worst customer service!!!,4.0
Not working. Cannot transfer balance to coinsph,4.0
My money is missing!!!until now response they just give me ticket,4.0
How come I can't update my Gcash...it's frustrating...I can't use it. What do I need to do to update it?,1.0
Having a hard time installing this app,2.0
Natatae ako wala lang ni rate ko lang,4.0
